R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.95,6.2,1.42E-06,0.656223802,0.76666474,0.126196889
0.95,6.35,1.41E-06,0.658756463,0.766664761,0.123132053
0.95,6.5,1.44E-06,0.661170468,0.766664712,0.120212817
0.95,6.65,1.41E-06,0.66347416,0.766664758,0.117429058
0.95,6.8,1.48E-06,0.665675035,0.766664668,0.114771562
0.95,6.95,1.42E-06,0.667780025,0.766664738,0.112231941
0.95,7.1,1.44E-06,0.669795343,0.766664717,0.109802519
0.95,7.25,1.45E-06,0.671726734,0.766664698,0.107476281
0.95,7.4,1.37E-06,0.673579471,0.766664814,0.105246796
0.95,7.55,1.37E-06,0.675358314,0.766664815,0.103108143
0.95,7.7,1.41E-06,0.677067699,0.766664751,0.101054884
0.95,7.85,1.41E-06,0.678711728,0.766664757,0.099082008
0.95,8,1.44E-06,0.680294137,0.766664716,0.09718488
1.1,0.5,0.067242425,3.00E-14,0.672424241,0.867725814
1.1,0.65,0.067242425,1.34E-13,0.672424242,0.867725814
1.1,0.8,0.067242424,-1.13E-11,0.672424242,0.867725814
1.1,0.95,0.067242424,1.58E-06,0.672424242,0.867724091
1.1,1.1,0.067242425,0.078185343,0.672424242,0.781853416
1.1,1.25,0.067242425,0.169943268,0.672424241,0.679773071
1.1,1.4,0.067242424,0.240186103,0.672424242,0.600465258
1.1,1.55,0.067242426,0.29545937,0.67242424,0.537198855
1.1,1.7,0.067242424,0.339945073,0.672424242,0.485635819
1.1,1.85,0.067242425,0.376429859,0.672424241,0.442858658
1.1,2,0.067242425,0.406835708,0.672424242,0.406835708
1.1,2.15,0.067242425,0.432527048,0.672424241,0.376110477
1.1,2.3,0.067242425,0.45449661,0.672424241,0.349612777
1.1,2.45,0.067242424,0.473482189,0.672424242,0.326539441
1.1,2.6,0.067242425,0.490042397,0.672424242,0.306276498
1.1,2.75,0.067242425,0.504607165,0.672424242,0.288346952
1.1,2.9,0.067242425,0.517512258,0.672424242,0.272374873
1.1,3.05,0.067242426,0.529023348,0.67242424,0.25806017
1.1,3.2,0.067242425,0.53935315,0.672424242,0.245160523
1.1,3.35,0.067242425,0.54867381,0.672424242,0.233478217
1.1,3.5,0.067242425,0.557126011,0.672424242,0.222850404
1.1,3.65,0.067242425,0.564825755,0.672424242,0.213141794
1.1,3.8,0.067242425,0.571869487,0.672424242,0.204239102
1.1,3.95,0.067242425,0.578337997,0.672424242,0.196046779
1.1,4.1,0.067242425,0.584299443,0.672424242,0.188483691
1.1,4.25,0.067242424,0.589811697,0.672424242,0.181480522
1.1,4.4,0.067242424,0.594924201,0.672424243,0.174977706
1.1,4.55,0.067242425,0.59967943,0.672424242,0.168923783
1.1,4.7,0.067242424,0.604114069,0.672424242,0.163274073
1.1,4.85,0.067242425,0.608259959,0.672424242,0.1579896
1.1,5,0.067242425,0.612144868,0.672424242,0.153036215
1.1,5.15,0.067242425,0.61579311,0.672424242,0.148383882
1.1,5.3,0.067242424,0.619226074,0.672424242,0.144006064
1.1,5.45,0.067242425,0.62246264,0.672424241,0.139879245
1.1,5.6,0.067242423,0.625519538,0.672424244,0.135982508
1.1,5.75,0.067242425,0.628411644,0.672424241,0.132297188
1.1,5.9,0.067242424,0.631152231,0.672424242,0.128806578
1.1,6.05,0.067242425,0.633753173,0.672424242,0.125495678
1.1,6.2,0.067242425,0.63622513,0.672424241,0.122350987
1.1,6.35,0.067242425,0.638577698,0.672424241,0.119360317
1.1,6.5,0.067242425,0.640819537,0.672424241,0.116512642
1.1,6.65,0.067242425,0.64295848,0.672424241,0.113797961
1.1,6.8,0.067242425,0.645001635,0.672424242,0.111207179
1.1,6.95,0.067242424,0.646955464,0.672424242,0.108732011
1.1,7.1,0.067242424,0.648825853,0.672424243,0.106364894
1.1,7.25,0.067242424,0.650618178,0.672424242,0.104098909
1.1,7.4,0.067242425,0.652337359,0.672424242,0.101927712
1.1,7.55,0.067242424,0.653987905,0.672424242,0.099845482
1.1,7.7,0.067242425,0.655573957,0.672424241,0.097846859
1.1,7.85,0.067242425,0.657099329,0.672424241,0.095926909
1.1,8,0.067242424,0.658567532,0.672424243,0.094081076
1.25,0.5,0.139583333,2.72E-13,0.558333333,0.856779867
1.25,0.65,0.139583333,-5.70E-13,0.558333333,0.856779867
1.25,0.8,0.139583333,-2.80E-12,0.558333333,0.856779867
1.25,0.95,0.139583333,1.68E-06,0.558333333,0.856777995
1.25,1.1,0.139583333,0.077064949,0.558333333,0.770649478
1.25,1.25,0.139583333,0.167082814,0.558333333,0.668331255
1.25,1.4,0.139583333,0.235570341,0.558333333,0.588925851
1.25,1.55,0.139583333,0.289116725,0.558333333,0.525666773
1.25,1.7,0.139583333,0.331931796,0.558333333,0.474188281
1.25,1.85,0.139583333,0.366818776,0.558333334,0.431551501
1.25,2,0.139583333,0.395708432,0.558333334,0.395708432
1.25,2.15,0.139583333,0.419968722,0.558333333,0.365190193
1.25,2.3,0.139583334,0.440592441,0.558333332,0.338917262
1.25,2.45,0.139583333,0.458315246,0.558333333,0.31607948
1.25,2.6,0.139583332,0.473692269,0.558333336,0.296057668
1.25,2.75,0.139583334,0.487149215,0.558333333,0.27837098
1.25,2.9,0.139583333,0.499017266,0.558333333,0.262640667
1.25,3.05,0.139583333,0.509557418,0.558333334,0.248564594
1.25,3.2,0.139583333,0.518977778,0.558333334,0.23589899
1.25,3.35,0.139583334,0.527446056,0.558333333,0.22444513
1.25,3.5,0.139583333,0.535098735,0.558333334,0.214039494
1.25,3.65,0.139583333,0.542047876,0.558333333,0.204546368
1.25,3.8,0.139583333,0.548386257,0.558333333,0.195852235
1.25,3.95,0.139583333,0.554191276,0.558333334,0.18786145
1.25,4.1,0.139583333,0.559527961,0.558333333,0.180492891
1.25,4.25,0.139583333,0.564451306,0.558333333,0.173677325
1.25,4.4,0.139583333,0.56900811,0.558333333,0.167355327
1.25,4.55,0.139583333,0.573238424,0.558333333,0.161475612
1.25,4.7,0.139583333,0.577176709,0.558333333,0.155993705
1.25,4.85,0.139583333,0.580852772,0.558333333,0.15087085
1.25,5,0.139583333,0.584292509,0.558333333,0.146073127
1.25,5.15,0.139583333,0.587518525,0.558333333,0.141570729
1.25,5.3,0.139583334,0.590550636,0.558333333,0.137337357
1.25,5.45,0.139583333,0.593406279,0.558333334,0.133349726
1.25,5.6,0.139583333,0.596100858,0.558333333,0.129587143
1.25,5.75,0.139583333,0.59864803,0.558333334,0.126031164
1.25,5.9,0.139583333,0.601059944,0.558333333,0.122665295
1.25,6.05,0.139583333,0.603347442,0.558333333,0.119474741
1.25,6.2,0.139583333,0.605520229,0.558333334,0.116446198
1.25,6.35,0.139583333,0.607587019,0.558333333,0.113567667
1.25,6.5,0.139583331,0.60955566,0.558333337,0.110828302
1.25,6.65,0.139583334,0.611433229,0.558333332,0.108218271
1.25,6.8,0.139583334,0.61322614,0.558333331,0.105728645
1.25,6.95,0.139583334,0.614940207,0.558333333,0.103351295
1.25,7.1,0.139583333,0.616580717,0.558333335,0.101078806
1.25,7.25,0.139583333,0.618152487,0.558333333,0.098904398
1.25,7.4,0.139583333,0.619659919,0.558333334,0.096821862
1.25,7.55,0.139583334,0.621107039,0.558333332,0.094825502
1.25,7.7,0.139583333,0.622497542,0.558333333,0.092910081
1.25,7.85,0.139583333,0.623834818,0.558333333,0.091070776
1.25,8,0.139583334,0.62512199,0.558333333,0.089303141
1.4,0.5,0.187047619,-2.91E-14,0.467619048,0.846734225
1.4,0.65,0.187047619,-1.55E-13,0.467619048,0.846734225
1.4,0.8,0.187047619,-3.12E-11,0.467619048,0.846734224
1.4,0.95,0.187047619,1.40E-06,0.467619048,0.846732647
1.4,1.1,0.187047619,0.076025745,0.467619048,0.760257446
1.4,1.25,0.187047619,0.164392061,0.467619048,0.657568243
1.4,1.4,0.187047619,0.231175641,0.467619048,0.577939102
1.4,1.55,0.187047619,0.283015014,0.467619048,0.514572752
1.4,1.7,0.187047619,0.324154283,0.467619048,0.463077547
1.4,1.85,0.187047619,0.357419349,0.467619048,0.420493352
1.4,2,0.187047619,0.384755033,0.467619048,0.384755033
1.4,2.15,0.187047619,0.40753711,0.467619048,0.354380095
1.4,2.3,0.187047619,0.426761802,0.467619048,0.328278309
