alpha,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.001,5.45,-5.559112675065854e-15,-9.220191841784298e-12,-3.3589311684829586e-25,2.5489786777938513e-12
0.001,5.6,3.41167414950979e-11,6.072598438356085e-11,3.7364773638041703e-19,-5.363358416729775e-13
0.001,5.75,-1.0481308299987764e-14,3.0211858630198358e-12,6.67203812565899e-24,-2.374866019259525e-12
0.001,5.9,-9.378470317664974e-15,-7.211639027251215e-11,3.0179017924061577e-24,5.833058917596418e-11
0.001,6.05,-1.4112892104399071e-14,1.606352478121007e-11,-6.11293552431973e-23,-1.3495870849821222e-11
0.001,6.2,-1.0745796266558606e-14,1.578701485529664e-11,-1.2036997350166337e-22,-1.2866244472434219e-11
0.001,6.35,-1.8640575796285323e-15,-3.2639386596067575e-11,-8.790592942288525e-24,2.6521180065590713e-11
0.001,6.5,-5.798816694631847e-14,3.162599997383165e-11,-4.340627653997625e-21,-3.1272650289409614e-11
0.001,6.65,-1.803086832457854e-14,-4.077161494491269e-13,6.4234821160656805e-25,3.8585023829355863e-13
0.001,6.8,1.8667870407698228e-14,8.318593027558043e-12,-1.4367684435255827e-24,-5.7021545237115055e-12
0.001,6.95,-1.3011196897482914e-14,-2.727696751993348e-11,7.839809588984067e-25,2.1061300065756322e-11
0.001,7.1,1.0295521491369409e-12,-7.23736710279386e-12,3.4442386868988424e-16,7.122696533486919e-12
0.001,7.25,-1.5640801963965002e-12,-1.6242579333002112e-12,5.169033774939037e-20,3.941682397335952e-14
0.001,7.4,1.5530333780865324e-10,3.0297910661554036e-10,-1.8084823282730195e-18,1.1984066902138517e-13
0.001,7.55,-1.9115055026377355e-14,2.4929899937991517e-10,-6.165154484411449e-19,-2.4736701788386303e-10
0.001,7.7,1.0750374733599218e-12,5.068308199753027e-13,-1.1965247052638094e-18,2.9099876780484787e-13
0.001,7.85,-6.228928128615082e-15,3.1871468420712205e-11,3.135925620862852e-18,-2.7871260353114915e-11
0.001,8.0,2.935349103437596e-13,-2.8646982821935204e-12,1.3676124400870344e-18,2.5487300730941648e-12
0.021,0.5,-1.4699378813702388e-10,5.08682957170885e-16,2.9115873986334576e-10,1.2894507025701556e-08
0.021,0.65,-1.0976382387506694e-09,-1.1269354539838823e-27,9.350049773676528e-10,1.6950306305246555e-08
0.021,0.8,-1.4857924174322076e-10,3.6284098547500104e-13,6.741761490467296e-11,4.030188260594832e-09
0.021,0.95,-1.9438234544943545e-11,-8.270077298673159e-12,7.921674340907407e-12,-3.1784734311554946e-11
0.021,1.1,-1.275481943620392e-11,3.347981491335758e-11,6.267693322510641e-12,-2.634516932012013e-10
0.021,1.25,9.589132853162562e-14,1.0296988934666895e-11,-3.662701832485947e-14,2.119103187485863e-10
0.021,1.4,3.327584730720873e-11,1.4863364425825313e-11,-1.569775731066675e-11,-5.4826309814446246e-11
0.021,1.55,-7.94880919756117e-13,-4.733302414655937e-12,2.628353020368204e-13,9.454950899548524e-11
0.021,1.7,4.854476570349112e-12,1.381317693072811e-12,-2.2741570530584894e-12,5.14422630435915e-11
0.021,1.85,1.6370756672880132e-11,1.8808837560347203e-11,-7.803487505574519e-12,-8.684452189722537e-11
0.021,2.0,-1.4811248873776427e-12,-1.0596675861618468e-12,6.862089392851912e-13,2.5547916814516493e-12
0.021,2.15,-2.3709767487305847e-11,-8.286834241033546e-12,1.127440305730652e-11,-1.9082326468563697e-10
0.021,2.3,-5.607863346891423e-12,-9.38390903029615e-12,2.7232976721170577e-12,4.397635531434775e-12
0.021,2.45,-1.069984862512862e-14,-6.351346557514681e-12,1.8621135464609408e-15,3.278350316280374e-12
0.021,2.6,-4.631228922090416e-15,-1.0340798439565904e-11,3.946960712087974e-15,1.1098164097373029e-11
0.021,2.75,5.0661438315924515e-11,1.9571188657661495e-11,-2.4046622161530094e-11,7.933252563482179e-12
0.021,2.9,-1.5443932588868021e-15,2.132757580727668e-11,-2.4622455338785405e-15,-9.200890865213341e-12
0.021,3.05,-8.635726292273381e-15,-2.250304739844719e-12,4.340742136782551e-22,1.0628934275848416e-12
