R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.95,2.15,1.34E-06,0.440999681,0.766664852,0.383477996
0.95,2.3,1.41E-06,0.463839314,0.766664754,0.356799485
0.95,2.45,1.49E-06,0.483637539,0.766664651,0.333543143
0.95,2.6,1.40E-06,0.500956324,0.766664767,0.313097713
0.95,2.75,1.37E-06,0.51622913,0.766664813,0.294988083
0.95,2.9,1.31E-06,0.529795308,0.766664888,0.278839644
0.95,3.05,1.34E-06,0.541924001,0.766664855,0.26435318
0.95,3.2,1.45E-06,0.552831238,0.766664708,0.251286935
0.95,3.35,1.26E-06,0.56269235,0.766664955,0.239443561
0.95,3.5,1.31E-06,0.571650821,0.766664889,0.228660336
0.95,3.65,1.43E-06,0.579825358,0.766664731,0.218802029
0.95,3.8,1.44E-06,0.587314896,0.766664711,0.209755327
0.95,3.95,1.34E-06,0.594202489,0.766664851,0.201424579
0.95,4.1,1.46E-06,0.60055828,0.766664689,0.193728484
0.95,4.25,1.44E-06,0.606442106,0.766664716,0.186597577
0.95,4.4,1.40E-06,0.6119051,0.766664769,0.179972094
0.95,4.55,1.46E-06,0.61699128,0.766664689,0.173800366
0.95,4.7,1.45E-06,0.621738801,0.766664698,0.16803752
0.95,4.85,1.47E-06,0.626180794,0.766664675,0.162644368
0.95,5,1.32E-06,0.630346267,0.766664881,0.157586572
0.95,5.15,1.38E-06,0.63426054,0.766664803,0.15283387
0.95,5.3,1.41E-06,0.637946056,0.766664751,0.148359553
0.95,5.45,1.45E-06,0.64142261,0.766664702,0.144139916
0.95,5.6,1.32E-06,0.644707814,0.766664882,0.140153878
0.95,5.75,1.29E-06,0.647817253,0.766664922,0.136382583
0.95,5.9,1.30E-06,0.650764918,0.766664899,0.132809171
0.95,6.05,1.32E-06,0.653563355,0.766664883,0.12941849
0.95,6.2,1.38E-06,0.656223814,0.766664803,0.126196892
0.95,6.35,1.49E-06,0.658756441,0.766664649,0.12313205
0.95,6.5,1.47E-06,0.661170461,0.766664672,0.120212815
0.95,6.65,1.43E-06,0.663474155,0.766664734,0.117429058
0.95,6.8,1.50E-06,0.665675028,0.766664629,0.114771561
0.95,6.95,1.33E-06,0.667780052,0.766664867,0.112231945
0.95,7.1,1.40E-06,0.669795354,0.766664769,0.109802521
0.95,7.25,1.43E-06,0.67172674,0.766664726,0.107476282
0.95,7.4,1.47E-06,0.673579442,0.766664677,0.105246792
0.95,7.55,1.34E-06,0.675358323,0.766664858,0.103108144
0.95,7.7,1.32E-06,0.677067726,0.76666488,0.101054888
0.95,7.85,1.46E-06,0.678711715,0.766664692,0.099082006
0.95,8,1.37E-06,0.680294158,0.766664809,0.097184883
1.1,0.5,0.067242425,5.69E-15,0.672424241,0.867725814
1.1,0.65,0.067242425,-4.56E-13,0.672424242,0.867725815
1.1,0.8,0.067242425,-2.24E-12,0.672424242,0.867725814
1.1,0.95,0.067242424,1.70E-06,0.672424242,0.867723957
1.1,1.1,0.067242424,0.078185342,0.672424242,0.781853417
1.1,1.25,0.067242425,0.169943268,0.672424241,0.679773071
1.1,1.4,0.067242425,0.240186103,0.672424242,0.600465258
1.1,1.55,0.067242424,0.29545937,0.672424242,0.537198855
1.1,1.7,0.067242425,0.339945073,0.672424242,0.485635819
1.1,1.85,0.067242425,0.376429859,0.672424242,0.442858658
1.1,2,0.067242425,0.406835708,0.672424241,0.406835708
1.1,2.15,0.067242425,0.432527048,0.672424241,0.376110477
1.1,2.3,0.067242425,0.45449661,0.672424242,0.349612777
1.1,2.45,0.067242424,0.473482189,0.672424242,0.326539441
1.1,2.6,0.067242425,0.490042397,0.672424242,0.306276498
1.1,2.75,0.067242424,0.504607166,0.672424243,0.288346952
1.1,2.9,0.067242425,0.517512258,0.672424241,0.272374873
1.1,3.05,0.067242425,0.529023348,0.672424242,0.25806017
1.1,3.2,0.067242425,0.53935315,0.672424241,0.245160523
1.1,3.35,0.067242425,0.54867381,0.672424241,0.233478217
1.1,3.5,0.067242425,0.557126011,0.672424241,0.222850404
1.1,3.65,0.067242425,0.564825755,0.672424241,0.213141794
1.1,3.8,0.067242425,0.571869487,0.672424242,0.204239103
1.1,3.95,0.067242425,0.578337997,0.672424242,0.196046779
1.1,4.1,0.067242425,0.584299443,0.672424242,0.188483691
1.1,4.25,0.067242424,0.589811697,0.672424242,0.181480522
1.1,4.4,0.067242424,0.594924201,0.672424243,0.174977706
1.1,4.55,0.067242425,0.59967943,0.672424242,0.168923783
1.1,4.7,0.067242424,0.604114068,0.672424242,0.163274073
1.1,4.85,0.067242424,0.608259959,0.672424242,0.1579896
1.1,5,0.067242424,0.612144867,0.672424243,0.153036217
1.1,5.15,0.067242425,0.615793109,0.672424241,0.148383882
1.1,5.3,0.067242425,0.619226074,0.672424241,0.144006064
1.1,5.45,0.067242424,0.62246264,0.672424243,0.139879245
1.1,5.6,0.067242425,0.625519538,0.672424241,0.135982508
1.1,5.75,0.067242423,0.628411645,0.672424244,0.132297188
1.1,5.9,0.067242426,0.63115223,0.672424241,0.128806578
1.1,6.05,0.067242425,0.633753172,0.672424241,0.125495678
1.1,6.2,0.067242425,0.63622513,0.672424241,0.122350987
1.1,6.35,0.067242425,0.638577699,0.672424242,0.119360318
1.1,6.5,0.067242425,0.640819537,0.672424241,0.116512643
1.1,6.65,0.067242424,0.64295848,0.672424243,0.113797961
1.1,6.8,0.067242424,0.645001636,0.672424243,0.111207179
1.1,6.95,0.067242424,0.646955464,0.672424242,0.108732011
1.1,7.1,0.067242425,0.648825853,0.672424242,0.106364894
1.1,7.25,0.067242425,0.650618178,0.672424242,0.104098909
1.1,7.4,0.067242425,0.652337359,0.672424242,0.101927712
1.1,7.55,0.067242425,0.653987904,0.672424241,0.099845482
1.1,7.7,0.067242425,0.655573957,0.672424242,0.097846859
1.1,7.85,0.067242425,0.657099328,0.672424241,0.095926909
1.1,8,0.067242425,0.658567532,0.672424241,0.094081076
1.25,0.5,0.139583333,1.81E-13,0.558333333,0.856779867
1.25,0.65,0.139583333,-6.64E-14,0.558333333,0.856779867
1.25,0.8,0.139583333,6.92E-12,0.558333333,0.856779867
1.25,0.95,0.139583333,1.43E-06,0.558333333,0.856778272
1.25,1.1,0.139583333,0.077064949,0.558333333,0.770649479
1.25,1.25,0.139583333,0.167082814,0.558333333,0.668331255
1.25,1.4,0.139583333,0.235570341,0.558333333,0.588925851
1.25,1.55,0.139583333,0.289116725,0.558333333,0.525666773
1.25,1.7,0.139583333,0.331931796,0.558333333,0.474188281
1.25,1.85,0.139583333,0.366818776,0.558333333,0.431551501
1.25,2,0.139583333,0.395708432,0.558333334,0.395708432
