p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.061,0.8,2.88E-16,5.55E-11,-4.41E-17,-1.24E-10
0.061,0.95,1.71E-14,-7.21E-12,2.63E-17,1.75E-11
0.061,1.1,-8.43E-17,-2.58E-12,-2.62E-16,5.92E-12
0.061,1.25,6.91E-13,2.74E-12,2.56E-16,-1.58E-14
0.061,1.4,1.56E-11,4.48E-11,-2.03E-18,-1.73E-12
0.061,1.55,-8.60E-15,-2.51E-13,4.15E-22,7.20E-13
0.061,1.7,-1.85E-15,-9.02E-15,7.19E-21,4.77E-16
0.061,1.85,3.09E-15,1.72E-14,4.52E-19,-1.47E-16
0.061,2,9.05E-11,3.75E-10,-2.57E-19,6.27E-15
0.061,2.15,-7.66E-12,-1.68E-11,-9.13E-18,-1.51E-13
0.061,2.3,-1.42E-12,-4.63E-12,-4.50E-18,-4.78E-16
0.061,2.45,-2.66E-12,3.88E-13,-1.72E-21,-1.40E-11
0.061,2.6,5.34E-12,2.15E-11,2.06E-17,3.43E-14
0.061,2.75,-4.56E-13,-1.53E-12,2.23E-21,-3.68E-17
0.061,2.9,2.82E-14,1.08E-13,-4.20E-21,7.36E-18
0.061,3.05,1.90E-13,4.04E-13,-4.76E-19,-1.98E-18
0.061,3.2,4.12E-11,7.11E-11,1.19E-17,1.23E-16
0.061,3.35,-6.80E-11,-1.01E-10,-7.34E-19,-4.80E-19
0.061,3.5,-5.75E-13,-1.61E-12,1.07E-21,-4.33E-14
0.061,3.65,-2.00E-13,-4.37E-13,2.28E-19,-3.96E-15
0.061,3.8,2.18E-12,8.71E-12,1.40E-17,-4.64E-17
0.061,3.95,-7.12E-14,2.18E-13,1.65E-18,1.61E-14
0.061,4.1,1.18E-10,5.90E-11,5.87E-17,-1.03E-11
0.061,4.25,-2.11E-14,-3.49E-13,-2.88E-19,3.62E-14
0.061,4.4,2.50E-11,7.66E-11,-2.56E-19,-7.89E-15
0.061,4.55,1.01E-13,5.09E-13,-4.07E-20,3.73E-15
0.061,4.7,-6.96E-14,-2.78E-13,-2.88E-19,1.82E-14
0.061,4.85,2.51E-13,7.98E-13,2.94E-19,-3.04E-19
0.061,5,-1.39E-09,-3.16E-09,2.77E-17,6.38E-13
0.061,5.15,-2.08E-13,-1.11E-12,1.25E-18,1.10E-17
0.061,5.3,-1.68E-11,-3.55E-11,-1.28E-17,-3.69E-17
0.061,5.45,6.81E-12,1.89E-11,7.55E-20,5.01E-19
0.061,5.6,8.70E-14,3.43E-13,2.91E-19,1.35E-15
0.061,5.75,-1.35E-11,-3.76E-11,-1.61E-17,2.10E-15
0.061,5.9,1.67E-11,3.73E-11,-2.49E-17,-6.50E-17
