p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.281,3.65,6.35E-14,-2.84E-13,-2.75E-13,-1.05E-12
0.281,3.8,-9.32E-11,-6.55E-10,-8.27E-11,-2.58E-10
0.281,3.95,-3.36E-15,3.33E-11,1.57E-17,3.32E-11
0.281,4.1,-4.05E-14,-2.43E-12,-7.66E-14,-2.18E-12
0.281,4.25,-6.49E-13,-1.67E-12,1.00E-16,-2.45E-14
0.281,4.4,-3.40E-15,6.15E-13,-2.95E-19,5.51E-13
0.281,4.55,1.47E-12,2.93E-12,-2.02E-16,-7.52E-17
0.281,4.7,3.99E-16,-9.70E-15,1.03E-15,-1.18E-14
0.281,4.85,6.90E-15,3.91E-13,1.33E-14,3.24E-13
0.281,5,-1.53E-15,1.03E-12,4.07E-19,-1.68E-13
0.281,5.15,8.85E-15,1.39E-14,-4.41E-19,6.06E-18
0.281,5.3,-7.38E-16,-2.87E-12,-5.93E-20,-8.05E-12
0.281,5.45,-5.84E-12,-1.02E-11,-5.23E-12,1.57E-11
0.281,5.6,2.61E-13,4.96E-13,3.91E-16,8.56E-16
0.281,5.75,1.09E-14,-5.70E-13,2.70E-19,7.71E-13
0.281,5.9,3.06E-16,4.36E-14,-2.40E-19,-4.30E-15
0.281,6.05,-1.66E-10,-9.00E-10,-1.55E-10,-1.92E-10
0.281,6.2,-9.05E-12,-5.09E-11,-8.99E-12,-1.03E-11
0.281,6.35,-1.23E-11,-6.64E-11,-1.18E-11,-1.32E-11
0.281,6.5,1.07E-13,2.85E-13,1.83E-17,1.45E-14
0.281,6.65,-3.41E-16,-4.58E-15,1.00E-16,1.39E-15
0.281,6.8,2.50E-14,1.52E-13,3.27E-14,3.14E-14
0.281,6.95,6.85E-13,1.67E-12,1.20E-17,1.21E-17
0.281,7.1,-1.64E-11,-8.85E-11,-1.58E-11,-1.79E-11
0.281,7.25,5.38E-12,3.62E-12,1.19E-16,1.15E-16
0.281,7.4,1.66E-10,8.97E-10,1.73E-10,1.55E-10
0.281,7.55,-7.24E-16,-3.13E-16,-1.43E-18,-6.89E-15
0.281,7.7,1.87E-11,8.86E-11,1.44E-11,1.23E-11
0.281,7.85,-5.88E-13,3.87E-12,-6.17E-13,6.12E-12
0.281,8,-1.11E-14,-1.57E-13,7.04E-15,-2.25E-13
0.301,0.5,1.22E-09,-9.77E-15,1.05E-09,0.612403102
0.301,0.65,1.98E-08,1.21E-13,9.80E-10,0.612403106
0.301,0.8,-3.00E-10,-1.54E-11,-2.62E-10,0.6124031
0.301,0.95,-1.02E-09,9.28E-07,3.19E-09,0.612401478
0.301,1.1,2.90E-09,0.051595693,4.04E-09,0.515956914
0.301,1.25,4.86E-15,0.099640089,-2.60E-13,0.398560355
0.301,1.4,-3.62E-12,0.121816168,-2.63E-12,0.304540421
0.301,1.55,1.08E-11,0.124910692,-5.69E-13,0.227110349
0.301,1.7,1.47E-09,0.092073137,4.65E-10,0.131533051
0.301,1.85,-4.33E-10,0.096962355,-4.64E-10,0.122593645
0.301,2,1.93E-06,0.025964665,-5.72E-06,0.025538057
0.301,2.15,-6.38E-08,0.057033054,-3.41E-07,0.057032932
0.301,2.3,-5.46E-15,4.11E-09,-8.78E-15,3.77E-09
0.301,2.45,2.50E-13,-8.16E-12,-4.55E-15,-1.17E-11
0.301,2.6,-4.17E-13,-1.51E-10,-3.58E-13,-9.58E-11
0.301,2.75,-5.96E-15,2.48E-11,2.30E-15,2.05E-11
0.301,2.9,8.23E-16,1.37E-13,-4.61E-19,1.96E-13
0.301,3.05,2.70E-13,9.50E-13,9.00E-17,7.33E-13
0.301,3.2,1.70E-12,8.01E-12,1.52E-15,1.13E-14
0.301,3.35,-6.83E-15,-3.24E-14,-4.35E-18,-2.00E-17
0.301,3.5,1.73E-11,1.27E-10,1.54E-11,5.84E-11
0.301,3.65,-1.93E-13,-1.49E-12,-1.70E-13,-5.69E-13
0.301,3.8,-8.25E-14,-2.95E-12,5.65E-14,-1.80E-12
0.301,3.95,9.05E-16,3.50E-15,6.09E-18,4.00E-17
0.301,4.1,-2.08E-15,-7.00E-15,5.03E-18,-1.00E-15
0.301,4.25,-5.44E-15,1.91E-14,1.61E-19,3.50E-14
0.301,4.4,1.81E-14,5.94E-14,2.37E-16,5.84E-16
0.301,4.55,6.49E-14,1.51E-13,1.59E-17,5.39E-17
0.301,4.7,6.08E-15,1.69E-14,-7.79E-18,-1.59E-17
0.301,4.85,-6.53E-14,-2.14E-13,2.04E-16,3.60E-16
0.301,5,5.74E-12,2.41E-11,5.06E-12,1.94E-12
0.301,5.15,-5.49E-15,2.36E-13,3.89E-17,-2.18E-13
0.301,5.3,-6.29E-15,-1.47E-13,5.29E-17,2.18E-14
0.301,5.45,-7.85E-12,-3.70E-11,-6.43E-12,-8.46E-12
0.301,5.6,2.71E-15,6.14E-13,5.07E-16,4.99E-13
0.301,5.75,-3.72E-15,-9.28E-15,1.28E-17,1.80E-17
0.301,5.9,9.89E-14,1.41E-11,1.64E-13,1.21E-11
0.301,6.05,2.26E-13,1.11E-12,2.13E-13,2.36E-13
0.301,6.2,2.69E-12,7.08E-12,4.42E-14,5.57E-14
0.301,6.35,-2.04E-15,-1.65E-15,7.47E-16,7.88E-16
0.301,6.5,3.98E-13,2.57E-12,2.70E-13,1.60E-12
0.301,6.65,5.16E-14,1.28E-13,7.33E-18,7.68E-18
0.301,6.8,-3.61E-10,-1.79E-09,-3.63E-10,-3.56E-10
0.301,6.95,-4.44E-15,-1.20E-14,1.34E-17,1.39E-17
0.301,7.1,-2.34E-10,-7.32E-10,-7.16E-11,-6.24E-11
0.301,7.25,-2.66E-10,-1.23E-09,-2.35E-10,-2.11E-10
0.301,7.4,-8.74E-12,-3.96E-11,-8.03E-12,-6.97E-12
0.301,7.55,1.55E-15,-5.52E-12,-1.62E-13,1.15E-12
0.301,7.7,2.23E-14,1.01E-13,2.73E-14,-1.39E-15
0.301,7.85,-7.68E-11,-3.94E-10,-8.93E-11,-7.16E-11
0.301,8,-6.60E-15,3.43E-14,1.31E-17,-8.45E-16
0.321,0.5,-8.99E-11,1.88E-14,-5.65E-11,0.63655244
0.321,0.65,-4.66E-10,-5.33E-14,-3.75E-10,0.63655244
0.321,0.8,1.86E-10,-1.92E-12,1.41E-10,0.636552441
0.321,0.95,-9.03E-10,1.25E-06,5.55E-09,0.636550346
0.321,1.1,3.39E-07,0.043236376,2.07E-07,0.559671355
0.321,1.25,-1.28E-09,0.105893035,-8.15E-10,0.423572194
0.321,1.4,3.95E-11,0.132027889,3.30E-11,0.330069723
0.321,1.55,-8.03E-11,0.139236425,-6.09E-11,0.253157136
0.321,1.7,-1.85E-07,0.131909637,-4.23E-08,0.188443967
0.321,1.85,-7.80E-08,0.114905269,1.23E-07,0.138509043
0.321,2,1.13E-08,0.095957579,6.50E-08,0.103933161
0.321,2.15,8.87E-08,0.059209869,2.16E-08,0.054796351
0.321,2.3,1.27E-10,0.019323582,-8.88E-11,0.016797275
0.321,2.45,-1.33E-12,-5.18E-10,-1.04E-12,-4.06E-10
0.321,2.6,9.05E-14,-3.00E-10,5.20E-14,-1.79E-10
0.321,2.75,-3.46E-15,4.00E-14,-2.86E-15,-6.27E-13
0.321,2.9,1.57E-11,7.84E-11,-1.44E-12,-7.14E-11
0.321,3.05,1.97E-11,1.87E-10,1.68E-11,1.07E-10
0.321,3.2,4.53E-15,2.60E-14,5.05E-18,-2.50E-16
0.321,3.35,-1.06E-11,-3.55E-10,-1.19E-11,-2.74E-10
0.321,3.5,-5.68E-11,-3.54E-10,-4.66E-11,-1.47E-10
0.321,3.65,2.24E-09,1.50E-08,2.03E-09,6.84E-09
0.321,3.8,1.72E-15,-1.88E-11,4.09E-16,-1.47E-11
0.321,3.95,-3.25E-10,-1.91E-09,-2.89E-10,-7.67E-10
0.321,4.1,-1.04E-15,-6.15E-15,2.07E-17,5.52E-17
0.321,4.25,-2.09E-11,-7.15E-11,9.53E-14,1.72E-13
0.321,4.4,-5.70E-12,-2.94E-11,-4.56E-12,-9.33E-12
0.321,4.55,-2.07E-13,-9.27E-13,-4.01E-15,2.80E-13
0.321,4.7,-2.79E-12,-2.25E-10,-3.53E-12,-1.59E-10
0.321,4.85,-6.06E-12,-2.91E-11,-4.89E-12,-8.15E-12
0.321,5,-1.18E-14,5.05E-13,-2.00E-15,3.00E-13
0.321,5.15,1.07E-14,-3.39E-13,2.63E-16,-2.89E-13
0.321,5.3,4.56E-12,2.06E-11,3.78E-12,4.96E-12
0.321,5.45,-1.72E-10,-5.91E-10,-3.12E-11,-4.31E-11
0.321,5.6,-7.93E-14,-2.06E-13,3.31E-16,3.77E-16
0.321,5.75,1.33E-12,3.95E-13,-2.62E-14,-8.25E-12
0.321,5.9,1.56E-13,1.10E-12,1.23E-13,5.33E-13
0.321,6.05,-4.97E-11,-1.93E-10,-2.75E-11,-3.13E-11
0.321,6.2,1.07E-11,5.33E-11,8.56E-12,1.19E-11
0.321,6.35,-5.10E-11,-2.14E-10,-3.90E-11,-4.12E-11
0.321,6.5,-5.19E-12,1.60E-11,-4.13E-12,2.29E-11
0.321,6.65,-1.91E-10,-8.37E-10,-1.72E-10,-1.68E-10
0.321,6.8,-4.38E-13,-1.79E-12,-3.47E-13,-3.06E-13
0.321,6.95,5.61E-09,2.43E-08,5.07E-09,4.65E-09
0.321,7.1,6.20E-12,1.34E-11,-1.70E-13,-3.08E-14
0.321,7.25,-8.30E-11,-6.00E-10,-8.34E-11,-2.50E-10
0.321,7.4,-4.63E-13,-2.57E-12,-3.10E-13,-8.93E-13
0.321,7.55,1.21E-12,1.68E-14,9.74E-13,-2.74E-12
0.321,7.7,-1.57E-10,-8.39E-10,-2.06E-10,-1.63E-10
0.321,7.85,5.39E-12,2.77E-11,7.87E-12,5.73E-12
0.321,8,4.86E-11,1.90E-10,3.75E-11,2.50E-11
0.341,0.5,4.30E-09,8.25E-15,2.59E-09,0.657869015
0.341,0.65,5.98E-11,-5.31E-14,4.39E-11,0.657869013
0.341,0.8,1.76E-07,5.12E-13,1.22E-08,0.657869034
0.341,0.95,8.45E-07,1.30E-06,2.18E-07,0.657867185
0.341,1.1,4.35E-07,0.039345483,1.22E-07,0.590810809
0.341,1.25,-2.35E-05,0.111408836,-2.04E-05,0.445620196
0.341,1.4,-4.71E-05,0.135108554,-4.09E-05,0.371153824
0.341,1.55,-8.97E-12,0.15188172,-6.58E-12,0.276148583
0.341,1.7,8.28E-08,0.149096012,4.15E-09,0.224523316
0.341,1.85,4.29E-08,0.137831873,1.45E-08,0.173372806
0.341,2,-0.001170073,0.103739011,-0.000768154,0.107493085
0.341,2.15,-2.72E-10,0.10577331,-4.34E-11,0.104771711
0.341,2.3,1.61E-10,0.052073203,7.06E-12,0.037552612
0.341,2.45,3.57E-11,0.005207325,1.53E-11,0.003755265
0.341,2.6,6.84E-12,4.14E-10,3.69E-12,2.73E-10
0.341,2.75,3.83E-11,1.49E-09,-4.79E-13,5.80E-10
0.341,2.9,3.52E-09,3.71E-08,3.37E-09,3.23E-08
0.341,3.05,3.86E-10,3.55E-09,2.97E-10,1.94E-09
0.341,3.2,-5.78E-10,-6.04E-09,-4.31E-10,-3.47E-09
0.341,3.35,-2.31E-09,-1.56E-08,-1.40E-09,-6.04E-09
0.341,3.5,-7.59E-11,-1.22E-10,1.80E-10,6.58E-10
0.341,3.65,-8.55E-10,-5.48E-09,-9.69E-10,-3.05E-09
0.341,3.8,4.20E-05,0.00020525,1.40E-05,4.01E-05
0.341,3.95,2.19E-10,1.22E-09,1.94E-10,5.09E-10
0.341,4.1,8.10E-11,4.08E-10,6.03E-11,1.40E-10
0.341,4.25,2.36E-12,-2.07E-11,-1.12E-13,-1.94E-11
0.341,4.4,-3.64E-10,-1.71E-09,-2.72E-10,-5.35E-10
0.341,4.55,-2.59E-09,-1.39E-08,-3.30E-09,-6.03E-09
0.341,4.7,6.54E-12,2.80E-11,4.48E-12,7.30E-12
0.341,4.85,4.80E-10,2.55E-09,6.52E-10,1.13E-09
0.341,5,5.39E-11,2.29E-10,3.89E-11,5.94E-11
0.341,5.15,-2.11E-11,-1.16E-10,-4.04E-11,-4.70E-11
0.341,5.3,-1.43E-10,-7.73E-10,-2.12E-10,-2.87E-10
0.341,5.45,-2.55E-12,-1.05E-11,-1.86E-12,-2.56E-12
0.341,5.6,1.85E-12,3.06E-12,-1.38E-12,-1.63E-12
0.341,5.75,-8.15E-13,-8.24E-12,-3.60E-12,-4.27E-12
0.341,5.9,9.42E-10,3.80E-09,7.56E-10,8.59E-10
0.341,6.05,-1.11E-10,-4.57E-10,-1.00E-10,-1.07E-10
0.341,6.2,1.02E-13,-1.38E-12,5.52E-14,-1.42E-12
0.341,6.35,4.80E-08,1.74E-07,2.97E-08,3.01E-08
0.341,6.5,-1.59E-12,-5.60E-12,-1.14E-12,-5.27E-13
0.341,6.65,-4.58E-10,-1.74E-09,-3.33E-10,-3.33E-10
0.341,6.8,-3.05E-10,-1.19E-09,-2.58E-10,-2.35E-10
0.341,6.95,-8.84E-10,-3.18E-09,-5.91E-10,-5.22E-10
0.341,7.1,-1.41E-08,-4.77E-08,-7.81E-09,-6.67E-09
0.341,7.25,4.32E-10,1.44E-09,2.26E-10,1.89E-10
0.341,7.4,-7.16E-10,-2.11E-09,-3.58E-10,-1.42E-10
0.341,7.55,6.22E-11,1.76E-10,2.44E-11,9.55E-12
0.341,7.7,-1.97E-12,-7.31E-12,-1.58E-12,-1.19E-12
0.341,7.85,8.08E-11,2.91E-10,5.91E-11,4.41E-11
0.341,8,-9.31E-05,-0.000278685,-3.48E-05,-2.53E-05
0.361,0.5,0.013181368,-2.35E-16,0.008911399,0.682747286
0.361,0.65,0.010582747,1.33E-32,0.005916841,0.681046243
0.361,0.8,0.017137866,3.65E-19,0.009194194,0.683487067
0.361,0.95,0.010793302,1.31E-06,0.006814897,0.681476575
0.361,1.1,0.014882234,0.05898348,0.008631201,0.588278264
0.361,1.25,0.008400338,0.118310131,0.004326381,0.468628997
0.361,1.4,-4.71E-05,0.135108554,-4.09E-05,0.371153824
0.361,1.55,0.013098851,0.171002296,0.008226103,0.308905763
0.361,1.7,0.024961393,0.184937574,0.021546133,0.281694604
0.361,1.85,0.014169622,0.170673345,0.008732949,0.197559652
0.361,2,0.021039998,0.173287166,0.015851998,0.184513925
0.361,2.15,0.028353709,0.171865866,0.019147467,0.148293404
0.361,2.3,0.019807426,0.139651952,0.013636747,0.105866292
0.361,2.45,0.024211514,0.138869648,0.016361327,0.097884585
0.361,2.6,0.019119469,0.094436498,0.011122465,0.056780152
0.361,2.75,0.009076893,0.05716985,0.004967654,0.029002332
0.361,2.9,0.001959327,0.018928222,0.002048178,0.014122655
0.361,3.05,0.024712047,0.105256778,0.016643284,0.04949854
0.361,3.2,0.019393303,0.079041712,0.011765704,0.033094931
0.361,3.35,0.007325292,0.036321087,0.005243131,0.015985605
0.361,3.5,0.015686038,0.061284279,0.008432399,0.020726434
0.361,3.65,0.008365653,0.03520078,0.004298664,0.01120341
0.361,3.8,0.013008933,0.053255259,0.008643772,0.018381452
0.361,3.95,0.007272532,0.026220821,0.003513318,0.007091753
0.361,4.1,0.001954753,0.008615645,0.00141111,0.002932475
0.361,4.25,0.012488695,0.042333626,0.006139674,0.010428163
0.361,4.4,0.002027014,0.008287573,0.001258738,0.002329698
0.361,4.55,0.003235835,0.01179046,0.001507376,0.002553933
0.361,4.7,0.003973511,0.014705089,0.002623154,0.003899825
0.361,4.85,0.0036314,0.012776745,0.001822743,0.002716181
0.361,5,0.002534527,0.012617125,0.004156056,0.005293318
0.361,5.15,0.012363392,0.038583422,0.0062029,0.007586147
0.361,5.3,0.005226573,0.016920082,0.002398229,0.003024509
0.361,5.45,0.004438303,0.013871764,0.002298114,0.002614434
0.361,5.6,0.006011162,0.018632906,0.002799428,0.003140607
0.361,5.75,0.003670851,0.011849673,0.001874883,0.002075526
0.361,5.9,0.006671211,0.020393891,0.003234418,0.003334342
0.361,6.05,0.00447839,0.013356687,0.002354956,0.002225446
0.361,6.2,0.009422392,0.027421702,0.004711353,0.004268054
0.361,6.35,0.005456026,0.015524329,0.002542965,0.00224621
0.361,6.5,0.009951951,0.028872661,0.004620955,0.004061904
0.361,6.65,0.002764211,0.008345745,0.001327272,0.001174344
0.361,6.8,0.003042274,0.009146602,0.001486589,0.00127227
0.361,6.95,0.026415609,0.066186347,0.011876036,0.00845445
0.361,7.1,0.007290933,0.022734096,0.004924961,0.003778209
0.361,7.25,0.012278029,0.034363127,0.006303878,0.00451282
0.361,7.4,0.013500965,0.038145571,0.007604878,0.005177396
0.361,7.55,0.009175807,0.027241054,0.005869019,0.00392883
0.361,7.7,0.00593022,0.016840026,0.002970956,0.002060691
0.361,7.85,0.011827695,0.033008606,0.005822994,0.003902226
0.361,8,0.007106898,0.021019663,0.004457385,0.002872622
0.381,0.5,0.042403409,2.12E-27,0.028274817,0.709295806
0.381,0.65,0.042519278,4.92E-32,0.028358802,0.709340322
0.381,0.8,0.04252927,3.30E-19,0.028342442,0.709335332
0.381,0.95,0.04247927,1.24E-06,0.028300162,0.709312064
0.381,1.1,0.042507913,0.061664923,0.028348441,0.616761713
0.381,1.25,0.04233646,0.12639368,0.028276827,0.505683758
0.381,1.4,0.042527754,0.167547913,0.02832311,0.41886467
0.381,1.55,0.042534659,0.192244229,0.028325691,0.349495362
0.381,1.7,0.04234074,0.205251213,0.028184983,0.293133582
0.381,1.85,0.042445095,0.210346497,0.028279549,0.247424756
0.381,2,0.042371217,0.209806826,0.028226972,0.209757789
0.381,2.15,0.042398574,0.205883179,0.028294652,0.179074618
0.381,2.3,0.042499744,0.200018545,0.028331844,0.153833599
0.381,2.45,0.042410803,0.192903847,0.028284386,0.133041737
0.381,2.6,0.042467883,0.185846279,0.028368194,0.116235308
0.381,2.75,0.042374081,0.178580274,0.028252923,0.102040849
0.381,2.9,0.042282904,0.171829729,0.028208974,0.090467907
0.381,3.05,0.03808043,0.149255904,0.025354209,0.072753364
0.381,3.2,0.042413416,0.160773593,0.028295275,0.073094224
0.381,3.35,0.042392705,0.155931354,0.028289731,0.066381183
0.381,3.5,0.042439192,0.151823462,0.028352036,0.060790782
0.381,3.65,0.042436629,0.147935805,0.028276039,0.055795585
0.381,3.8,0.042359019,0.144379424,0.028231119,0.051548923
0.381,3.95,0.042412516,0.141517416,0.028259164,0.047946814
0.381,4.1,0.042353619,0.138650285,0.028184339,0.044670887
0.381,4.25,0.042475854,0.136691542,0.028348676,0.042076437
0.381,4.4,0.042533088,0.134687334,0.028375947,0.03961814
0.381,4.55,0.0425223,0.132755647,0.028383431,0.037412434
0.381,4.7,0.04246294,0.130796674,0.028290352,0.035327359
0.381,4.85,0.042319949,0.128882877,0.028215822,0.03347528
0.381,5,0.042448093,0.127811868,0.028318227,0.03195893
0.381,5.15,0.042423444,0.126412281,0.028271756,0.030447292
0.381,5.3,0.042362143,0.125093998,0.028248287,0.029092045
0.381,5.45,0.042498825,0.124360318,0.028337875,0.027940827
0.381,5.6,0.042453322,0.123259155,0.028313915,0.026795634
0.381,5.75,0.042424573,0.122223447,0.02825751,0.025711263
0.381,5.9,0.042427019,0.121408061,0.028273658,0.024765756
0.381,6.05,0.042511616,0.120878246,0.028353972,0.023935163
0.381,6.2,0.042439203,0.119929663,0.028270317,0.023046674
0.381,6.35,0.042418268,0.119205406,0.028252163,0.022263688
0.381,6.5,0.042489313,0.118791499,0.028317866,0.021588012
0.381,6.65,0.04228145,0.117698917,0.028183491,0.020829054
0.381,6.8,0.04233781,0.117253285,0.028181552,0.020194582
0.381,6.95,0.042354815,0.116862586,0.028241257,0.019640285
0.381,7.1,0.042378123,0.116490823,0.028283572,0.019106819
0.381,7.25,0.042580199,0.116494609,0.02836956,0.018624236
0.381,7.4,0.042487929,0.115879834,0.028325791,0.018100932
0.381,7.55,0.042391838,0.115312545,0.028302891,0.017617688
0.381,7.7,0.042162735,0.114327904,0.028109666,0.017066362
0.381,7.85,0.042492262,0.11481846,0.028334962,0.016759049
0.381,8,0.042546338,0.114652967,0.028384647,0.01637985
0.401,0.5,0.070077261,-2.13E-31,0.046717076,0.73028589
0.401,0.65,0.070077584,7.00E-31,0.046717388,0.730286019
0.401,0.8,0.070077032,3.97E-19,0.04671687,0.730285804
0.401,0.95,0.070078184,1.45E-06,0.046717923,0.730284228
0.401,1.1,0.070075695,0.063867541,0.046716565,0.638675379
0.401,1.25,0.070076508,0.132284756,0.046717009,0.529138881
0.401,1.4,0.070079324,0.177504067,0.04671832,0.4437595
0.401,1.55,0.07007689,0.206686808,0.046716841,0.375792814
0.401,1.7,0.070078161,0.224614026,0.04671808,0.320876212
0.401,1.85,0.070077214,0.23462732,0.046717414,0.276030961
0.401,2,0.070076517,0.239142461,0.046716935,0.239141236
0.401,2.15,0.070076832,0.239931709,0.046717277,0.208635186
0.401,2.3,0.070076965,0.238292291,0.04671723,0.183300472
0.401,2.45,0.070076962,0.235161717,0.046716496,0.162178243
0.401,2.6,0.070077051,0.231201944,0.046716964,0.14449956
0.401,2.75,0.070074581,0.226858374,0.046715937,0.129632832
0.401,2.9,0.070077001,0.222436007,0.046716745,0.117069859
0.401,3.05,0.070076924,0.218107835,0.046716685,0.106392429
0.401,3.2,0.070077106,0.213984278,0.04671704,0.097264255
0.401,3.35,0.0700771,0.210119561,0.046717386,0.08941167
0.401,3.5,0.070077738,0.206536919,0.046717646,0.082613691
0.401,3.65,0.070074267,0.203230037,0.046715761,0.076690263
0.401,3.8,0.070077198,0.200208472,0.046717197,0.071502035
0.401,3.95,0.070077202,0.197438641,0.046717026,0.066927276
0.401,4.1,0.07007818,0.194909189,0.046717797,0.062872921
0.401,4.25,0.070077929,0.192595177,0.046717783,0.059259221
0.401,4.4,0.070074437,0.190472243,0.046715339,0.05602063
0.401,4.55,0.070077317,0.188542966,0.046717748,0.053110221
0.401,4.7,0.070077641,0.186769437,0.046717475,0.050477451
0.401,4.85,0.070077489,0.185142504,0.046717901,0.048088541
0.401,5,0.07007657,0.183645204,0.046717042,0.045910815
0.401,5.15,0.070077517,0.182273884,0.046719731,0.043922008
0.401,5.3,0.070077304,0.181002871,0.046717319,0.042093091
0.401,5.45,0.07007678,0.179832025,0.046717547,0.040411431
0.401,5.6,0.070077468,0.178750534,0.046717216,0.038858146
0.401,5.75,0.07007731,0.177748302,0.046717114,0.037420063
0.401,5.9,0.070076747,0.176817978,0.0467167,0.036084701
0.401,6.05,0.070076823,0.175956586,0.046717779,0.034842748
0.401,6.2,0.070077629,0.17515513,0.046717589,0.033683203
0.401,6.35,0.070076804,0.174405993,0.046716855,0.032598753
0.401,6.5,0.0700777,0.173712649,0.046718595,0.031584042
0.401,6.65,0.070077027,0.173059157,0.046716755,0.030629367
0.401,6.8,0.070075339,0.172449039,0.046716828,0.029732547
0.401,6.95,0.070077024,0.17188313,0.046717386,0.028887607
0.401,7.1,0.070076904,0.171349822,0.046717207,0.0280898
0.401,7.25,0.070076264,0.170848162,0.046716376,0.027335268
0.401,7.4,0.070075313,0.170377923,0.04671657,0.026621432
0.401,7.55,0.070078064,0.169942593,0.046718082,0.025945116
0.401,7.7,0.070077965,0.169527114,0.04671753,0.025302096
0.401,7.85,0.070076365,0.169134081,0.046717122,0.024690915
0.401,8,0.070077305,0.168768413,0.04671784,0.024109581
0.421,0.5,0.095249387,-1.26E-37,0.063499606,0.747212872
0.421,0.65,0.095249338,6.80E-32,0.06349956,0.747212856
0.421,0.8,0.095249361,2.08E-19,0.063499589,0.747212865
0.421,0.95,0.095249356,1.45E-06,0.063499566,0.747210896
0.421,1.1,0.095249353,0.065613665,0.063499571,0.656136635
0.421,1.25,0.095249353,0.136841191,0.063499589,0.547364765
0.421,1.4,0.095249341,0.185071081,0.063499572,0.462677699
0.421,1.55,0.095249354,0.217415161,0.063499561,0.395300276
0.421,1.7,0.095249346,0.238581863,0.06349957,0.340831237
0.421,1.85,0.095249346,0.251829163,0.063499567,0.296269609
0.421,2,0.095249362,0.259480977,0.063499587,0.259480995
0.421,2.15,0.095249345,0.263223748,0.063499578,0.228890239
0.421,2.3,0.095249367,0.264288098,0.063499581,0.203298544
0.421,2.45,0.095249363,0.263568116,0.063499582,0.181771127
0.421,2.6,0.095249348,0.261706145,0.063499568,0.163566352
0.421,2.75,0.095249357,0.25915621,0.063499578,0.148089277
0.421,2.9,0.095249344,0.256232765,0.063499581,0.134859377
0.421,3.05,0.095249361,0.253148769,0.063499606,0.12348724
0.421,3.2,0.095249341,0.250044259,0.063499567,0.113656495
0.421,3.35,0.095249362,0.247008493,0.063499593,0.105110017
0.421,3.5,0.095249364,0.244095176,0.063499588,0.097638085
0.421,3.65,0.095249324,0.24133427,0.063499562,0.091069554
0.421,3.8,0.095249364,0.2387401,0.063499581,0.085264329
0.421,3.95,0.09524937,0.236316349,0.063499597,0.080107252
0.421,4.1,0.095249387,0.234060422,0.063499593,0.075503365
0.421,4.25,0.095249365,0.231965746,0.063499586,0.071374085
0.421,4.4,0.09524934,0.230023633,0.063499574,0.067654024
0.421,4.55,0.095249348,0.228224362,0.063499587,0.064288569
0.421,4.7,0.095249353,0.22655771,0.063499581,0.061231824
0.421,4.85,0.095249356,0.225013686,0.063499586,0.058445125
0.421,5,0.09524935,0.223582631,0.063499593,0.055895675
0.421,5.15,0.095249369,0.22225547,0.063499587,0.053555541
0.421,5.3,0.095249338,0.221023645,0.063499583,0.051400864
0.421,5.45,0.095249348,0.219879415,0.063499577,0.049411113
0.421,5.6,0.095249363,0.21881555,0.06349959,0.047568606
0.421,5.75,0.095249388,0.217825449,0.063499612,0.045857999
0.421,5.9,0.095249391,0.21690301,0.063499605,0.044265925
0.421,6.05,0.095249354,0.216042724,0.063499568,0.04278074
0.421,6.2,0.095249345,0.215239756,0.063499576,0.041392269
0.421,6.35,0.095249352,0.214489492,0.063499579,0.040091501
0.421,6.5,0.095249354,0.213787765,0.063499569,0.038870505
0.421,6.65,0.095249357,0.213130858,0.063499582,0.037722282
0.421,6.8,0.095249365,0.212515279,0.063499553,0.03664056
0.421,6.95,0.095249354,0.211937975,0.063499573,0.035619832
0.421,7.1,0.095249344,0.211396042,0.063499566,0.034655093
0.421,7.25,0.095249345,0.210886948,0.063499581,0.03374192
0.421,7.4,0.095249355,0.210408262,0.063499571,0.032876294
0.421,7.55,0.095249366,0.209957859,0.063499584,0.032054639
0.421,7.7,0.095249351,0.209533681,0.063499588,0.031273692
0.421,7.85,0.095249323,0.209133883,0.063499547,0.030530497
0.421,8,0.095249343,0.208756982,0.063499564,0.029822429
0.441,0.5,0.11814059,8.07E-33,0.07876039,0.761237107
0.441,0.65,0.118140586,4.08E-30,0.078760388,0.761237106
0.441,0.8,0.118140589,3.47E-19,0.078760392,0.761237107
0.441,0.95,0.118140589,1.47E-06,0.078760389,0.761235162
0.441,1.1,0.118140588,0.067044466,0.078760388,0.670444655
0.441,1.25,0.118140598,0.140512908,0.078760396,0.562051633
0.441,1.4,0.118140585,0.191068596,0.078760389,0.477671487
0.441,1.55,0.11814058,0.225781855,0.078760386,0.41051246
0.441,1.7,0.118140581,0.249312013,0.078760389,0.35616002
0.441,1.85,0.118140576,0.264864582,0.07876038,0.311605386
0.441,2,0.118140588,0.274713186,0.07876039,0.274713184
0.441,2.15,0.118140587,0.280501599,0.078760388,0.243914431
0.441,2.3,0.118140589,0.283429368,0.078760388,0.218022586
0.441,2.45,0.118140581,0.284373056,0.078760382,0.196119346
0.441,2.6,0.11814058,0.283970403,0.07876038,0.177481497
0.441,2.75,0.118140583,0.282681459,0.078760382,0.161532258
0.441,2.9,0.118140585,0.280834418,0.07876039,0.147807589
0.441,3.05,0.118140577,0.278660333,0.078760382,0.13593187
